Area_Code	Parameter_Code	Indicator_Code	Folder_Code	Folder_Desc	
I	A	SIP	S.1	The institution has a system of determining the Vision and Mission.	
I	A	SIP	S.2	The Vision clearly reflects what the Institution hopes to become in the future.	
I	A	SIP	S.3	The Mission clearly reflects the Institution’s legal and other statutory mandates.	
I	A	SIP	S.4	The Goals of the College/Academic Unit are consistent with the Mission of the institution.	
I	A	SIP	S.5	The Objectives of the program have the expected outcomes in terms of competencies ( skills and knowledge), values and other attributes of the graduates which include the development of:	
I	A	SIP	S.5.1	technical/ pedagogical skills;	
I	A	SIP	S.5.2	research and extension capabilities;	
I	A	SIP	S.5.3	students’ own ideas, desirable attitudes and personal discipline;	
I	A	SIP	S.5.4	moral character;	
I	A	SIP	S.5.5	critical analytical, problem solving and other higher order thinking skills; and	
I	A	SIP	S.5.6	aesthetic and cultural values.	
I	A	IMP	I.1	The Institution/ college conducts a review on the statements of the Vision and Mission as well as its goals and program objectives for the approval of authorities concerned.	
I	A	IMP	I.2	The College/ Academic Unit follows a system of formulating its goals and the objectives of the program.	
I	A	IMP	I.3	The College/ Academic Unit’s faculty , personnel ,students and other stakeholders ( cooperating agencies, linkages, alumni, industry, sector and other concerned groups ) participate in the formulation, review and/ or revision the VMGO.	
I	A	OUT	O.1	The VMGO are crafted and duly approved by the BOR/BOT.	
I	B	SIP	S.1	The VMGO are available on bulletin boards, in catalogs/ manuals and in other forms of communication media.	
I	B	IMP	I.1	A system of dissemination and acceptability of the VGMO is enforced.	
I	B	IMP	I.2	The administrators/ faculty attend in-service seminars and training on awareness and acceptability of the:	
I	B	IMP	I.2.1	Vission and Mission of the Institution	
I	B	IMP	I.2.2	Goals of the College/Academic Unit ; and	
I	B	IMP	I.2.3	Objectives of the program.	
I	B	IMP	I.3	Formulation/review/revision of the VMGO is participated in by the following:	
I	B	IMP	I.3.1	administrators;	
I	B	IMP	I.3.2	faculty;	
I	B	IMP	I.3.3	staff;	
I	B	IMP	I.3.4	students;and	
I	B	IMP	I.3.5	other stakeholders.	
I	B	IMP	I.4	The faculty and staff perform their jobs/functions in consonance with the VMGO.	
I	B	IMP	I.5	The VMGO are widely disseminated to the different agencies, institutions, industry sector and the community.	
I	B	OUT	O.1	There is full awareness and acceptance of the VMGO by the administrators, faculty and staff, students and other stakeholders.	
I	B	OUT	O.2	There is congruency between actual educational practices and activities with the following:	
I	B	OUT	O.2.1	Vision and mission of the SUC;	
I	B	OUT	O.2.2	Goals of the College/Academic Unit; and	
I	B	OUT	O.2.3	Objectives of the Program	
I	B	OUT	O.3	The goals and objectives are being achieved.	
II	A	SIP	S.1	The required number of faculty possesses graduate degrees appropriate and relevant to the program or any of the allied fields.	
II	A	SIP	S.2	Other qualifications such as the following are considered:	
II	A	SIP	S.2.1	related professional experience;	
II	A	SIP	S.2.2	licensure (if applicable)	
II	A	SIP	S.2.3	Specialization	
II	A	SIP	S.2.4	technical/ pedagogical skills and competence; and	
II	A	SIP	S.2.5	special abilities, computer literacy, research productivity;	
II	A	SIP	S.3	Faculty handling OJT/ practicum courses have had at least three (3) years of teaching and industry- based experience in the field, if applicable.	
II	A	SIP	S.4	At least 50% of the faculty are Graduate degree holders.	
II	A	IMP	I.1	The faculty demonstrate professional competence and are engage in any or a combination of the following:	
II	A	IMP	I.1.1	instruction;	
II	A	IMP	I.1.2	research;	
II	A	IMP	I.1.3	extension;	
II	A	IMP	I.1.4	production;	
II	A	IMP	I.1.5	consultancy and expert service; and	
II	A	IMP	I.1.6	publication, creative and scholarly works.	
II	A	IMP	I.2	Faculty pursue graduate degrees related to the program and/ or allied fields from reputable institutions (with at least level II accreditation status or World/ Asian rank)	
II	A	OUT	O.1	The institution has qualified and competent faculty	
II	B	SIP	S.1	There is an institution Human Resource Development Plan/ Program designed for faculty recruitment.	
II	B	IMP	I.1	Recruitment and selection of faculty is processed by the Faculty Selection Board using the following criteria:	
II	B	IMP	I.1.1	academic qualifications;	
II	B	IMP	I.1.2	personal qualities;	
II	B	IMP	I.1.3	communication skills;	
II	B	IMP	I.1.4	teaching ability;	
II	B	IMP	I.1.5	medical examination results;	
II	B	IMP	I.1.6		
II	B	IMP	I.1.7	relevant/ professional experiences; (if any)	
II	B	IMP	I.1.8	previous record of employment; (if any)	
II	B	IMP	I.1.9	technical/ special skills & abilities; and	
II	B	IMP	I.1.10	previous performance rating. (if any)	
II	B	IMP	I.2	The hiring system adopts an open competitive selection, based on the CSC-approved Merit System and Promotion Plan of the Institution, published and well-disseminated through various means of communication:	
II	B	IMP	I.2.1	print media; (newspapers, flyers, CSC Bulletin of Vacant Positions)	
II	B	IMP	I.2.2	broadcast media; (TV, Radio)	
II	B	IMP	I.2.3	website;	
II	B	IMP	I.2.4	bulletin boards; and	
II	B	IMP	I.2.5	others (please specify)____________	
II	B	IMP	I.3	A Screening Committee selects and recommends the best and most qualified applicants.	
II	B	IMP	I.4	Measures to avoid professional in-breeding are observed.	
II	B	IMP	I.5	The institution conducts orientation for newly-hired faculty on its institutional vision and mission; CSC, PRC, DBM, and administration policies on their duties, responsibilities, benefits and other academic concerns.	
II	B	OUT	O.1	The most qualified faculty are selected.	
II	C	SIP	S.1	Faculty- student ratio is in accordance with the program requirements and standards as follows:	
II	C	SIP	S.1.1	lecture (1:35-50)	
II	C	SIP	S.1.2	laboratory (specific to the discipline)	
II	C	SIP	S.2	There is a provision for incentives of overload teaching in accordance with the CMO of the program and/ or institutional guidelines.	
II	C	SIP	S.3	There are full-time faculty classified by rank, subject/ specialization.	
II	C	SIP	S.4	Faculty schedule has time for preparation of lessons, scoring of test of papers, record keeping, class evaluation and the other instruction-related activities.	
II	C	SIP	S.5	Workload Guidelines contain sufficient time for teaching and/ or research, extension, production and other assigned tasks.	
II	C	SIP	S.6	There is equitable, measurable and fair distribution of teaching load and other assignments.	
II	C	IMP	I.1	The maximum total load is assigned to regular full-time faculty in accordance to the CMD of the program and institutional guidelines.	
II	C	IMP	I.2	A Faculty Manual is published formalizing faculty policies, standards and guidelines.	
II	C	IMP	I.3	Professional subjects are handled by specialists in the discipline/ program.	
II	C	IMP	I.4	The faculty are assigned to teach their major/ minor fields of specialization, for a maximum of four (4) different subject preparations within a semester.	
II	C	IMP	I.5	Administrative arrangements are adopted when vacancies/ leaves of absence occur during the term.	
II	C	IMP	I.6	No less than 60% of the professional subjects offered in the program are handled by full-time faculty.	
II	C	IMP	I.7	Teaching schedule does not allow more than six (6) hours of continuous teaching.	
II	C	IMP	I.8	Administrative, research and/ or professional assignment outside of regular teaching are given credits.	
II	C	IMP	I.9	Consultation, tutorial, remedial classes, expert services and other instruction-related activities are given credits in consonance with faculty workload guidelines.	
II	C	IMP	I.10	Workload assignments and number of preparations follow existing workload guidelines.	
II	C	OUT	O.1	The faculty are efficient and effective, with sufficient time for instruction, research, extension, production and other assigned tasks.	
II	D	SIP	S.1	The institution has a system of promotion in rank and tenure based on official issuances	
II	D	SIP	S.2	The institution has a policy on probationary status of employment.	
II	D	SIP	S.3	At least 50% of the full-time faculty teaching the professional courses are under permanent/ regular status.	
II	D	IMP	I.1	The institution implements the system of promotion in rank and salary based on existing policies and issuances (e.g. NBC 461).	
II	D	IMP	I.2	Retirement, separation or termination benefits are implemented in accordance with institutional and government (CSC, GSIS/ DBM) policies and guidelines.	
II	D	IMP	I.3	The faculty are officially informed of their rank and tenure after evaluation of the credentials and performance.	
II	D	IMP	I.4	The faculty concerned is officially informed of the extension, renewal, or termination of their appointments.	
II	D	IMP	I.5	The institution implements a CSC-approved Strategic Performance Management System (SPMS) which emphasizes quality teaching performance, research, creative work, extension, production services.	
II	D	IMP	I.6	The probationary period or temporary status required before the grant of permanent status to the faculty is in accordance with Civil Service and institutional policies and guidelines.	
II	D	OUT	O.1	The faculty are satisfied with their rank and employment status.	
II	E	SIP	S.1	The institution has an approved and sustainable Faculty Development Program (FDP).	
II	E	SIP	S.2	There are policies on faculty academic recognition and grant of scholarships/ fellowships and awards.	
II	E	SIP	S.3	Every faculty member has at least one active membership in professional/ scientific organization or honor society relevant to his/ her assignment and field of specialization.	
II	E	SIP	S.4	The budget allocation for faculty development is adequate.	
II	E	IMP	I.1	The institution implements a sustainable Faculty Development Program (FDP) based on identified priorities/ needs.	
II	E	IMP	I.1.1	upgraded educational qualifications (graduate studies);	
II	E	IMP	I.1.2	attendance to seminars, symposia and conferences for continuing education;	
II	E	IMP	I.1.3	conduct of research activities and publication of research output, and	
II	E	IMP	I.1.4	giving by lectures and presentation of papers in national/international conferences, symposia and seminars.	
II	E	IMP	I.2	The institutional supports the professional growth of the faculty through attendance in educational lectures, symposia, seminars, conferences and other forms of training.	
II	E	IMP	I.3	The institution conducts in-service training activities regularly at least once per term.	
II	E	IMP	I.4	Selection of deserving faculty to be granted scholarship, fellowships, seminars, conferences and/ or training grants is done objectively.	
II	E	IMP	I.5	The budget for faculty development is adequately allocated.	
II	E	IMP	I.6	The budget for faculty development is wisely utilized.	
II	E	IMP	I.7	The Faculty Development Program is implemented with the following provisions:	
II	E	IMP	I.7.1	adequate and qualified supervision of faculty;	
II	E	IMP	I.7.2	scholarships, sabbatical leaves and research grants;	
II	E	IMP	I.7.3	financial support for active membership in professional organizations;	
II	E	IMP	I.7.4	deloading to finish the faculty’s thesis/ dissertation;	
