Area_Code	Parameter_Code	Folder_Code	
II	A	S.1	
		S.2	S.2.1
			S.2.2
			S.2.3
			S.2.4
			S.2.5
			
		S.3	
		S.4	
		I.1	I.1.1
			I.1.2
			I.1.3
			I.1.4
			I.1.5
			I.1.6
			
		I.2	
		O.1	
	B	S.1	
		I.1	I.1.1
			I.1.2
			I.1.3
			I.1.4
			I.1.5
			I.1.6
			I.1.7
			I.1.8
			I.1.9
			I.1.10
			
		I.2	I.2.1
			I.2.2
			I.2.3
			I.2.4
			I.2.5
			
		I.3	
		I.4	
		I.5	
		O.1	
	C	S.1	S.1.1
			S.1.2
			
		S.2	
		S.3	
		S.4	
		S.5	
		S.6	
		I.1	
		I.2	
		I.3	
		I.4	
		I.5	
		I.6	
		I.7	
		I.8	
		I.9	
		I.10	
		O.1	
	D	S.1	
		S.2	
		S.3	
		I.1	
		I.2	
		I.3	
		I.4	
		I.5	
		I.6	
		O.1	
	E	S.1	
		S.2	
		S.3	
		S.4	
		I.1	I.1.1
			I.1.2
			I.1.3
			I.1.4
			
		I.2	
		I.3	
		I.4	
		I.5	
		I.6	
		I.7	I.7.1
			I.7.2
			I.7.3
			I.7.4
			I.7.5
			I.7.6
			I.7.7
			I.7.8
			
		I.8	
		I.9	
		I.10	
		O.1	
	F	S.1	S.1.1
			S.1.2
			
		I.1	I.1.1
			I.1.2
			I.1.3
			I.1.4
			I.1.5
			I.1.6
			I.1.7
			I.1.8
			
		I.2	
		I.3	
		I.4	
		I.5	
		I.6	
		I.7	
		I.8	
		I.9	
		I.10	
		I.11	
		O.1	
		O.2	
	G	S.1	
		I.1	I.1.1
			I.1.2
			I.1.3
			I.1.4
			I.1.5
			I.1.6
			I.1.7
			I.1.8
			I.1.9
			I.1.10
			I.1.11
			I.1.12
			I.1.13
			I.1.14
			I.1.15
			
		I.2	
		I.3	
		I.4	
		I.5	
		I.6	
		O.1	
		S.1	
		I.1	I.1.1
			I.1.2
			I.1.3
			I.1.4
			I.1.5
			
		I.2	
		I.3	
		I.4	I.4.1
			I.4.2
			I.4.3
			I.4.4
			
		I.5	
		I.6	
		I.7	
		I.8	
		O.1	
